10 Requests per second, 1 client	20 Request per second, 1 client	50 Requests per second, 2 clients	100 Requests per second, 5 clients	200 Request per second, 10 clients
2	45	36	48	10
4	45	49	26	58
3	43	34	24	43
3	45	48	22	40
2	45	34	19	38
4	44	47	48	35
3	44	35	25	32
7	45	47	23	28
4	46	34	22	27
5	46	47	19	25
4	45	36	48	10
4	44	46	29	56
3	45	34	25	44
2	44	48	22	44
14	44	34	17	38
4	45	48	47	37
3	46	34	30	35
5	46	48	25	32
2	46	31	23	31
3	47	48	20	28
3	45	35	48	16
2	45	44	29	10
4	45	34	24	35
2	45	48	23	29
3	43	35	22	28
4	46	45	30	26
2	44	33	13	24
4	47	47	8	23
2	46	35	5	18
4	45	47	11	15
4	45	33	3	7
3	45	48	20	18
2	45	32	15	45
3	45	48	13	43
3	44	34	10	31
4	47	48	6	29
3	44	35	19	28
2	46	45	16	23
3	41	36	13	21
2	45	48	7	20
4	45	36	4	19
2	47	46	20	12
3	45	36	18	52
2	45	48	15	45
2	44	35	5	44
4	44	48	53	43
3	45	37	20	42
5	57	47	14	41
1	47	35	11	37
1	45	48	6	35
6	45	36	3	32
2	45	48	25	29
1	45	37	23	44
4	45	47	19	42
3	44	37	7	36
2	46	47	4	34
2	46	37	30	32
2	44	47	28	31
2	46	37	26	26
8	45	46	11	24
5	44	39	9	17
4	45	47	29	13
31	45	39	25	53
4	45	48	21	44
3	46	40	10	42
3	44	46	8	33
4	46	40	29	31
4	47	47	21	28
3	44	40	17	23
2	46	48	9	21
2	44	40	7	17
4	46	48	37	15
4	42	40	35	50
3	48	48	33	45
5	44	40	16	44
4	44	48	10	39
1	46	40	37	37
4	45	48	31	34
3	46	39	28	31
5	45	48	16	28
3	45	38	13	26
1	45	47	39	9
4	46	38	35	45
3	45	48	33	43
5	45	41	16	39
2	46	47	14	37
3	45	39	37	36
2	44	47	35	33
4	45	41	32	30
2	44	47	15	26
2	45	44	12	21
2	43	45	39	8
7	43	38	36	46
3	44	48	32	42
4	46	41	15	40
4	3	48	13	37
3	3	41	38	35
4	4	48	33	33
3	4	41	29	30
3	4	47	14	24
4	3	38	12	22
9	6	48	41	7
4	5	39	39	43
5	4	47	35	40
4	3	36	14	39
3	3	47	9	30
4	3	37	42	28
3	3	46	40	25
6	4	37	38	22
5	3	48	13	17
5	3	37	11	15
4	5	45	42	6
3	3	37	39	47
5	5	48	37	46
6	3	37	7	36
5	2	46	3	33
2	4	39	44	27
3	4	46	42	24
7	4	37	40	22
4	4	17	10	13
5	4	4	6	10
5	3	7	45	17
8	8	50	42	10
6	6	17	38	9
6	5	14	11	29
4	4	29	7	29
4	3	28	44	27
4	3	37	42	25
2	4	35	39	16
2	4	48	34	15
5	4	40	30	51
3	6	48	9	49
3	5	41	2	36
9	9	46	7	34
4	10	39	6	30
5	3	46	4	25
5	3	41	15	23
3	4	49	11	20
3	4	39	8	17
3	4	47	6	15
2	5	40	3	10
3	5	47	17	8
3	5	38	11	36
3	4	47	4	34
2	4	39	58	26
6	5	49	55	24
3	7	39	22	21
3	5	46	18	18
6	4	41	11	16
5	5	47	9	13
5	7	41	7	9
3	2	46	23	6
5	5	38	20	38
3	2	48	15	36
5	4	37	10	32
5	4	47	8	28
5	6	38	23	25
5	3	47	17	24
6	3	37	14	21
4	5	47	11	19
7	4	38	8	17
2	4	44	23	12
5	5	38	21	38
5	5	46	19	35
2	5	39	16	28
3	6	46	13	26
4	4	38	25	24
4	4	48	24	19
3	2	36	14	16
3	5	49	12	15
4	6	38	10	11
4	5	47	26	8
3	4	39	17	40
2	3	46	14	36
6	6	38	12	33
4	3	48	10	30
3	3	36	25	28
4	4	47	19	25
5	5	36	16	21
4	3	45	12	18
5	5	37	9	15
3	4	48	27	10
3	5	37	24	40
5	4	46	22	36
2	3	39	20	32
3	4	48	18	29
5	3	39	26	27
3	2	46	22	24
3	5	40	19	22
4	4	47	17	18
5	5	39	15	17
3	4	46	27	10
3	6	38	20	43
4	5	48	17	40
3	4	38	15	38
4	5	45	13	36
4	4	39	27	32
4	5	48	22	30
4	5	40	20	23
5	5	46	18	21
5	4	39	15	18
2	4	46	25	8
3	4	40	24	43
8	3	48	21	36
3	4	40	19	32
3	5	48	17	31
2	5	37	23	27
3	5	46	19	24
2	4	39	16	21
4	4	47	13	19
3	5	39	11	16
5	5	46	26	9
4	2	40	20	12
3	5	47	18	9
3	5	38	16	8
5	3	48	13	5
4	2	40	22	26
3	3	48	19	24
5	7	40	13	22
12	6	46	11	20
5	8	40	10	13
10	11	46	25	46
5	4	37	20	39
3	3	46	14	35
14	9	38	12	31
2	3	49	10	28
4	4	38	22	26
3	2	47	17	24
2	5	37	15	22
4	3	47	13	20
3	4	36	11	15
4	5	49	13	14
5	5	40	8	37
4	4	48	4	36
5	4	44	7	29
5	4	47	6	27
5	6	41	21	24
4	3	47	18	23
5	3	40	15	18
4	6	48	11	17
5	4	42	9	15
4	4	46	18	12
5	4	40	14	32
5	5	48	8	30
4	4	41	6	25
5	4	46	3	22
5	3	41	22	19
4	4	47	14	17
4	5	38	11	13
4	2	48	8	11
3	5	40	6	8
4	5	46	21	5
2	5	40	13	43
3	3	47	10	39
4	5	35	8	36
4	3	48	5	33
4	3	36	23	25
5	3	46	19	24
5	4	36	17	20
5	5	48	15	19
5	5	36	13	13
5	3	47	20	10
4	4	35	14	43
4	4	12	13	37
9	7	2	10	31
3	7	6	8	23
5	4	48	25	18
4	4	12	23	15
4	4	9	11	12
5	3	26	51	10
2	4	24	48	7
2	4	37	26	5
5	5	37	23	42
4	4	46	20	38
5	2	37	48	34
6	3	49	42	32
5	5	38	29	29
4	3	47	26	27
4	4	40	23	25
5	5	46	46	22
6	2	40	40	19
4	6	48	27	14
5	5	39	23	42
